id,text
0,"usually , he would be tearing around the living room , playing with his toys ."
1,but just one look at a minion sent him practically catatonic .
2,that had been megan 's plan when she got him dressed earlier .
3,"he 'd seen the movie almost by mistake , considering he was a little young for the pg cartoon , but with older cousins , along with her brothers , mason was often exposed to things that were older ."
4,she liked to think being surrounded by adults and older kids was one reason why he was a such a good talker for his age .
5,`` are n't you being a good boy ? ''
6,she said .
7,mason barely acknowledged her .
8,"instead , his baby blues remained focused on the television ."
9,"since the movie was almost over , megan knew she better slip into the bedroom and finish getting ready ."
10,"each time she looked into mason 's face , she was grateful that he looked nothing like his father ."
11,his platinum blond hair and blue eyes were completely hers .
12,it was only his build that he was taking after his father .
13,"where megan was a diminutive 5'3 '' , davis was 6'1 '' and two hundred pounds ."
14,mason was already registering off the charts in height and weight according to his pediatrician .
15,davis had seen mason only twice in his lifetime-the day he had been born and the day he came home from the hospital .
16,"after that , he had n't been interested in any of the pictures and emails megan sent ."
17,"with his professional football career on the rise , davis had n't wanted to be shackled with the responsibilities of a baby ."
18,"instead , he wanted to spend his time off the field partying until all hours of the night ."
19,he only paid child support when megan threatened to have his wages garnished .
20,she dreaded the day when mason was old enough to ask about his father .
21,"she never wanted anything in the world to hurt him , and she knew that being rejected by his father would ."
22,"with a sigh , she stepped into the dress and slid it over her hips ."
23,wrestling around to get the zipper all the way up caused her to huff and puff .
24,"standing back from the mirror , she turned to and fro to take in her appearance ."
25,"she 'd always loved how the dress made her feel sexy , but at the same time was very respectable ."
26,"while it boasted a sweetheart neckline , the hemline fell just below her knees ."
27,"she put on her pearls-a high school graduation gift from her uncle aidan , or `` ankle '' , as she often called him ."
28,aidan was her mother 's baby brother and only son of the family .
29,"when she was born , he was only eight and a half ."
30,"as the first grandchild , megan spent a lot of time with her grandparents , and that in turn , meant she spent a lot of time with aidan ."
31,he had devoted hours to holding her and spoiling her rotten .
32,"when it came time for her to talk , she just could n't seem to get `` uncle aidan '' out ."
33,"instead , she called him `` ankle . ''"
34,it was a nickname that had stuck with him even now that he was thirty-four and married .
35,"while it had been no question that she wanted him as godfather for mason , she had been extremely honored when he and his wife , emma , had asked her to be their son , noah 's , godmother ."
36,she loved her newest cousin very much and planned to be the best godmother she could for him .
37,"as she stepped out of the bedroom , she found that mason had yet to move ."
38,"`` okay buddy , time to go . ''"
39,"when he started to whine , she shook her head ."
40,`` we have such a fun day ahead of us .
41,"it 's noah 's baptism , and then there 's a party at uncle aidan and aunt emma 's house . ''"
42,`` beau ? ''
43,he asked .
44,she laughed .
45,"`` yes , you 'll get to see and play with beau , too . ''"
46,"as she went to the couch and picked him up , she could n't help finding it amusing that out of everyone he was going to see today , he was most excited about being with aidan and emma 's black lab , beau ."
47,"one day when they had their own place again , she would get him a dog ."
48,he loved them too much to be denied .
49,"`` oomph , '' she muttered , as they started up the basement stairs ."
50,`` heawy ? ''
51,he asked .
52,"`` yes , you 're getting to be such a big , heavy boy . ''"
53,"when they made it to the kitchen , megan paused to catch her breath ."
54,"she only had a second before her mother breezed in with sean , and her youngest brother , gavin ."
55,`` ready ? ''
56,she asked .
57,megan nodded .
58,"feeling like she was once again a teenager , she filed behind her parents as they headed into the garage ."
59,"`` i want to drive , '' gavin said ."
60,"with a smirk , sean replied , `` like i 'm gon na let you drive my car . ''"
61,he then slid into the driver 's seat as gavin reluctantly walked around to the passenger 's side .
62,"`` we 'll see you there in just a few , '' her mother called ."
63,sean acknowledged her with a two finger salute before cranking up and pulling down the driveway .
64,megan worked to get mason into the car seat in her parents ' land rover .
65,"once he was safely strapped and buckled in , she hopped in beside him ."
66,her parents rattled along to each other as they made their way through the tree-lined suburbs where megan had grown up .
67,"while some might look on her as having a mark against her character being an unwed mother , she had lived a relatively non-rebellious life ."
68,"even though she 'd been a cheerleader and ran with the popular crowd in school , she rarely partied to excess ."
69,"instead , she had focused on getting good grades ."
70,"at that time , she had her heart set on going to medical school and becoming a doctor ."
71,"from the time she was a little girl , she had wanted nothing more than to help people ."
72,she was always mending birds with broken wings or trying to resuscitate squirrels who had been hit by cars .
73,she ditched playing princess for playing `` hospital . ''
74,her desire to become a doctor was why she needed the best scores and best activities and why she generally shunned any temptations to lead her off the right path .
75,she had even managed to bypass the usual freshman craziness when she went off to the university of georgia .
76,it was n't until she fell in love for the first time in her life that she threw everything away .
77,"sadly , she could n't say that her first love was davis , mason 's father ."
78,"instead , it was another football player , this time a running back at uga , who captured and later broke her heart a year later ."
79,"carsyn ran with the fast crowd , and when she was with him , she partied and drank too much ."
80,"he was controlling and possessive , and he wanted all of her time ."
81,"when she was with him , she had little time for studying ."
82,"with her grades already in the toilet , she was unprepared for the emotional breakdown she experienced when carsyn broke up with her ."
83,"devastated , she stopped going to class and ended up flunking the semester ."
84,"by the time she got back on track with her grades , she had abandoned any hope of medical school ."
85,"instead , she decided that she would become a nurse , which would fulfill her need to care for sick people ."
86,"of course , her relationship with davis ended up derailing shortly before graduation when she got pregnant unexpectedly ."
87,she had to take several semesters off after mason was born .
88,"she was a few years off from when she had originally planned on graduating , but she was excited after everything had that had happened , she was finally finishing ."
89,her mother 's voice brought megan out of her thoughts .
90,"`` here we are , '' she said pleasantly ."
91,"leaning forward in her seat , megan eyed the clock on the dashboard ."
92,she was n't surprised to see they had arrived half an hour before the baptism started .
93,one thing her mother prided herself on was being on time and lending a hand .
94,"as they started into the church , her mother reached for mason ."
95,`` we 'll take him so you can go see if emma needs any help . ''
96,megan bent over to kiss mason 's cheek .
97,"`` see you in a little while , sweetie . ''"
98,"he grinned and then happily dodged her mother 's arms for her father 's instead , which made megan smile ."
99,he was such a man 's man already .
100,he loved sitting between her brothers on the couch and watching tv .
101,"while it was good that he had so many male role models , she only hoped he had n't inherited too much of his father 's personality ."
102,"after megan watched them disappear in the crowd of family and friends waiting in the church alcove , she bypassed everyone by turning right and heading down the hallway ."
103,"at the last door on the right , she knocked ."
104,"`` it 's me , megan . ''"
105,"emma 's best friend , casey , answered the door ."
106,"`` well , if it is n't the fairy godmother , '' she mused with a grin ."
107,"after megan stepped inside , casey threw her arms around her ."
108,"megan had only met her a few times , but it was hard not liking emma 's vivacious and outgoing friend ."
109,"casey 's long brown hair was pulled back in a lose knot , and she wore a demure black slip dress and heels ."
110,`` so how 's it going ? ''
111,"megan asked , gazing from noah 's diapered but na**d form to emma ."
112,she was feeding him a bottle while her upper body was draped in a towel .
113,"peeking out from the covering , she saw emma was wearing her signature color , green ."
114,"as noah sucked on his bottle , he twirled a strand of emma 's auburn hair between his fingers ."
115,both father and son were fans of emma wearing her hair down .
116,emma grinned .
117,"`` good , i guess ."
118,"i mean , i do n't have a lot of experience with baptisms . ''"
119,megan laughed and motioned to the towel and noah .
120,`` it looks like you 're taking all the proper precautions-nothing like spit-up on your dress or his . ''
121,"with a nod , emma replied , `` tell me about it ."
122,especially since his gown is so old . ''
123,megan eyed the lacy baptismal gown hanging on the closet door .
124,she recognized it from pictures of ankle 's baptism .
125,"he had worn it , and now it was being passed down to his son ."
126,casey snorted .
127,"`` i 'm sure aidan would n't appreciate you alluding to the fact his gown is an antique , thus in turn saying he 's old . ''"
128,emma laughed .
129,"`` no , i 'm sure he would n't ."
130,"of course , he 'd probably argue that while the gown might not have held up , he still looks fabulous and much younger than his age . ''"
131,megan smiled .
132,`` that sounds just like him . ''
133,she bent over emma to rub one of noah 's hands .
134,he grabbed her thumb in his fist and held on for dear life .
135,"`` aw , you love your godmother , do n't you noah ? ''"
136,emma asked .
137,"noah momentarily stopped sucking on the bottle to flash a quick smile , which warmed megan 's heart ."
138,"`` he 's such a sweet boy , '' she mused ."
139,"`` and a charmer , just like his old man , '' casey mused ."
140,"`` that too , '' megan agreed ."
141,"thinking about her position , she cocked her head at casey ."
142,`` are you sure you 're fine with me being the godmother ? ''
143,casey waved her hand dismissively .
144,"`` honey , the last thing i need is the responsibility ."
145,i plan on spoiling noah rotten and corrupting him as only a good auntie can do ! ''
146,emma rolled her eyes .
147,"`` i 'm very satisfied with both my choices , megan ."
148,you do n't have to worry . ''
149,`` so who is the godfather again ?
150,i know he 's not part of the family . ''
151,casey gasped as her hand flew to her chest dramatically .
152,"`` you mean , you 've never met dr. mcdreamy bollywood ? ''"
153,megan shrugged .
154,"`` no , i have n't ."
155,"i mean , i 've heard about him and how he flew aidan home in time for noah 's birth . ''"
156,she noticed the pleading look that emma exchanged with casey .
157,`` why ?
158,what should i know about him ? ''
159,casey tapped her chin with her index finger .
160,"`` hmm , what should you know about the good godfather ? ''"
161,she winked at megan .
162,"`` first off , he is seriously delectable ."
163,"i mean , the man is like sex on a stick ."
164,"tall , jet-black hair , dark eyes , and he 's built like a brick shithouse . ''"
165,megan suddenly felt her interest piquing .
166,she had n't imagined that the godfather would be good-looking .
167,it had been such a long time since she had dated anyone .
168,scratch that-it had been a long time since she 'd had sex with anyone .
169,she 'd spent the last two years completely dateless since she and davis broke up .
170,she could practically join one of the local parishes as a nun with how long she had abstained .
171,`` really ? ''
172,"`` mmm , hmm ."
173,"he reminds me of that bollywood actor john abraham , '' casey said ."
174,emma snorted .
175,`` since when do you watch bollywood movies ? ''
176,`` since one of nate 's friends asked us to an indian film festival . ''
177,casey grinned at megan .
178,"`` besides the fact that he 's a serious looker , he 's also kind , compassionate , and caring-an overall wonderful man . ''"
179,`` really now ? ''
180,megan questioned .
181,`` and he 's loaded because he 's a doctor . ''
182,this man was sounding better and better by the minute .
183,`` is he single ? ''
184,"emma made a strangled noise before casey replied , `` oh , yeah , he 's single ."
185,he 's a widower actually . ''
186,megan pursed her lips at the prospect .
